index,stem,source_structure_path,selected_chain,aa_length,structure_length,seq_cluster,structure_cluster,combined_cluster,split
549,spec_unconditional_monomer_unconditional_monomer_265_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_265_model_0.cif,A,207,207,545,548,544,train
550,spec_unconditional_monomer_unconditional_monomer_265_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_265_model_1.cif,A,207,207,546,549,545,train
551,spec_unconditional_monomer_unconditional_monomer_265_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_265_model_2.cif,A,207,207,547,550,546,train
552,spec_unconditional_monomer_unconditional_monomer_266_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_266_model_0.cif,A,271,271,548,551,547,train
553,spec_unconditional_monomer_unconditional_monomer_266_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_266_model_1.cif,A,271,271,549,552,548,train
554,spec_unconditional_monomer_unconditional_monomer_266_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_266_model_2.cif,A,271,271,550,553,549,test
555,spec_unconditional_monomer_unconditional_monomer_267_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_267_model_0.cif,A,181,181,551,554,550,train
556,spec_unconditional_monomer_unconditional_monomer_267_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_267_model_1.cif,A,181,181,552,555,551,train
557,spec_unconditional_monomer_unconditional_monomer_267_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_267_model_2.cif,A,181,181,553,556,552,train
558,spec_unconditional_monomer_unconditional_monomer_268_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_268_model_0.cif,A,337,337,554,557,553,train
559,spec_unconditional_monomer_unconditional_monomer_268_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_268_model_1.cif,A,337,337,555,558,554,train
560,spec_unconditional_monomer_unconditional_monomer_268_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_268_model_2.cif,A,337,337,556,559,555,test
561,spec_unconditional_monomer_unconditional_monomer_269_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_269_model_0.cif,A,53,53,557,560,556,train
562,spec_unconditional_monomer_unconditional_monomer_269_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_269_model_1.cif,A,53,53,558,561,557,train
563,spec_unconditional_monomer_unconditional_monomer_269_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_269_model_2.cif,A,53,53,559,562,558,test
564,spec_unconditional_monomer_unconditional_monomer_26_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_26_model_0.cif,A,374,374,560,563,559,train
565,spec_unconditional_monomer_unconditional_monomer_26_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_26_model_1.cif,A,374,374,561,564,560,train
566,spec_unconditional_monomer_unconditional_monomer_26_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_26_model_2.cif,A,374,374,562,565,561,train
567,spec_unconditional_monomer_unconditional_monomer_270_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_270_model_0.cif,A,202,202,563,566,562,train
568,spec_unconditional_monomer_unconditional_monomer_270_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_270_model_1.cif,A,202,202,564,567,563,test
569,spec_unconditional_monomer_unconditional_monomer_270_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_270_model_2.cif,A,202,202,565,568,564,train
570,spec_unconditional_monomer_unconditional_monomer_271_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_271_model_0.cif,A,198,198,566,569,565,train
571,spec_unconditional_monomer_unconditional_monomer_271_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_271_model_1.cif,A,198,198,567,570,566,train
572,spec_unconditional_monomer_unconditional_monomer_271_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_271_model_2.cif,A,198,198,568,571,567,train
573,spec_unconditional_monomer_unconditional_monomer_272_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_272_model_0.cif,A,157,157,569,572,568,train
574,spec_unconditional_monomer_unconditional_monomer_272_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_272_model_1.cif,A,157,157,570,573,569,train
575,spec_unconditional_monomer_unconditional_monomer_272_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_272_model_2.cif,A,157,157,571,574,570,train
576,spec_unconditional_monomer_unconditional_monomer_273_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_273_model_0.cif,A,140,140,572,575,571,train
577,spec_unconditional_monomer_unconditional_monomer_273_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_273_model_1.cif,A,140,140,573,576,572,train
578,spec_unconditional_monomer_unconditional_monomer_273_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_273_model_2.cif,A,140,140,574,577,573,test
579,spec_unconditional_monomer_unconditional_monomer_274_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_274_model_0.cif,A,356,356,575,578,574,train
580,spec_unconditional_monomer_unconditional_monomer_274_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_274_model_1.cif,A,356,356,576,579,575,train
581,spec_unconditional_monomer_unconditional_monomer_274_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_274_model_2.cif,A,356,356,577,580,576,test
582,spec_unconditional_monomer_unconditional_monomer_275_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_275_model_0.cif,A,132,132,578,581,577,test
583,spec_unconditional_monomer_unconditional_monomer_275_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_275_model_1.cif,A,132,132,579,582,578,train
584,spec_unconditional_monomer_unconditional_monomer_275_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_275_model_2.cif,A,132,132,580,583,579,train
585,spec_unconditional_monomer_unconditional_monomer_276_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_276_model_0.cif,A,66,66,581,584,580,train
586,spec_unconditional_monomer_unconditional_monomer_276_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_276_model_1.cif,A,66,66,582,585,581,train
587,spec_unconditional_monomer_unconditional_monomer_276_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_276_model_2.cif,A,66,66,583,586,582,train
588,spec_unconditional_monomer_unconditional_monomer_277_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_277_model_0.cif,A,352,352,584,587,583,train
589,spec_unconditional_monomer_unconditional_monomer_277_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_277_model_1.cif,A,352,352,585,588,584,train
590,spec_unconditional_monomer_unconditional_monomer_277_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_277_model_2.cif,A,352,352,586,589,585,train
591,spec_unconditional_monomer_unconditional_monomer_278_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_278_model_0.cif,A,245,245,587,590,586,train
592,spec_unconditional_monomer_unconditional_monomer_278_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_278_model_1.cif,A,245,245,588,591,587,train
593,spec_unconditional_monomer_unconditional_monomer_278_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_278_model_2.cif,A,245,245,589,592,588,test
594,spec_unconditional_monomer_unconditional_monomer_279_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_279_model_0.cif,A,284,284,590,593,589,train
595,spec_unconditional_monomer_unconditional_monomer_279_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_279_model_1.cif,A,284,284,591,594,590,train
596,spec_unconditional_monomer_unconditional_monomer_279_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_279_model_2.cif,A,284,284,592,595,591,test
597,spec_unconditional_monomer_unconditional_monomer_27_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_27_model_0.cif,A,161,161,593,596,592,test
598,spec_unconditional_monomer_unconditional_monomer_27_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_27_model_1.cif,A,161,161,594,597,593,train
599,spec_unconditional_monomer_unconditional_monomer_27_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_27_model_2.cif,A,161,161,595,598,594,train
600,spec_unconditional_monomer_unconditional_monomer_280_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_280_model_0.cif,A,127,127,596,599,595,train
601,spec_unconditional_monomer_unconditional_monomer_280_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_280_model_1.cif,A,127,127,597,600,596,train
602,spec_unconditional_monomer_unconditional_monomer_280_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_280_model_2.cif,A,127,127,598,601,597,train
603,spec_unconditional_monomer_unconditional_monomer_281_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_281_model_0.cif,A,190,190,599,602,598,train
604,spec_unconditional_monomer_unconditional_monomer_281_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_281_model_1.cif,A,190,190,600,603,599,train
605,spec_unconditional_monomer_unconditional_monomer_281_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_281_model_2.cif,A,190,190,601,604,600,train
606,spec_unconditional_monomer_unconditional_monomer_282_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_282_model_0.cif,A,318,318,602,605,601,train
607,spec_unconditional_monomer_unconditional_monomer_282_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_282_model_1.cif,A,318,318,603,606,602,train
608,spec_unconditional_monomer_unconditional_monomer_282_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_282_model_2.cif,A,318,318,604,607,603,train
609,spec_unconditional_monomer_unconditional_monomer_283_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_283_model_0.cif,A,112,112,605,608,604,train
610,spec_unconditional_monomer_unconditional_monomer_283_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_283_model_1.cif,A,112,112,606,609,605,test
611,spec_unconditional_monomer_unconditional_monomer_283_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_283_model_2.cif,A,112,112,607,610,606,train
612,spec_unconditional_monomer_unconditional_monomer_284_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_284_model_0.cif,A,281,281,608,611,607,train
613,spec_unconditional_monomer_unconditional_monomer_284_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_284_model_1.cif,A,281,281,609,612,608,train
614,spec_unconditional_monomer_unconditional_monomer_284_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_284_model_2.cif,A,281,281,610,613,609,train
615,spec_unconditional_monomer_unconditional_monomer_285_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_285_model_0.cif,A,295,295,611,614,610,train
616,spec_unconditional_monomer_unconditional_monomer_285_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_285_model_1.cif,A,295,295,612,615,611,test
617,spec_unconditional_monomer_unconditional_monomer_285_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_285_model_2.cif,A,295,295,613,616,612,train
618,spec_unconditional_monomer_unconditional_monomer_286_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_286_model_0.cif,A,76,76,614,617,613,train
619,spec_unconditional_monomer_unconditional_monomer_286_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_286_model_1.cif,A,76,76,615,618,614,train
620,spec_unconditional_monomer_unconditional_monomer_286_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_286_model_2.cif,A,76,76,616,619,615,train
621,spec_unconditional_monomer_unconditional_monomer_287_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_287_model_0.cif,A,388,388,617,620,616,test
622,spec_unconditional_monomer_unconditional_monomer_287_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_287_model_1.cif,A,388,388,618,621,617,train
623,spec_unconditional_monomer_unconditional_monomer_287_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_287_model_2.cif,A,388,388,619,622,618,train
624,spec_unconditional_monomer_unconditional_monomer_288_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_288_model_0.cif,A,277,277,620,623,619,train
625,spec_unconditional_monomer_unconditional_monomer_288_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_288_model_1.cif,A,277,277,621,624,620,train
626,spec_unconditional_monomer_unconditional_monomer_288_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_288_model_2.cif,A,277,277,622,625,621,test
627,spec_unconditional_monomer_unconditional_monomer_289_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_289_model_0.cif,A,189,189,623,626,622,test
628,spec_unconditional_monomer_unconditional_monomer_289_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_289_model_1.cif,A,189,189,624,627,623,test
629,spec_unconditional_monomer_unconditional_monomer_289_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_289_model_2.cif,A,189,189,625,628,624,train
630,spec_unconditional_monomer_unconditional_monomer_28_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_28_model_0.cif,A,362,362,626,629,625,train
631,spec_unconditional_monomer_unconditional_monomer_28_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_28_model_1.cif,A,362,362,627,630,626,test
632,spec_unconditional_monomer_unconditional_monomer_28_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_28_model_2.cif,A,362,362,628,631,627,train
633,spec_unconditional_monomer_unconditional_monomer_290_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_290_model_0.cif,A,270,270,629,632,628,train
634,spec_unconditional_monomer_unconditional_monomer_290_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_290_model_1.cif,A,270,270,630,633,629,train
635,spec_unconditional_monomer_unconditional_monomer_290_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_290_model_2.cif,A,270,270,631,634,630,test
636,spec_unconditional_monomer_unconditional_monomer_291_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_291_model_0.cif,A,30,30,632,635,631,train
637,spec_unconditional_monomer_unconditional_monomer_291_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_291_model_1.cif,A,30,30,633,636,632,train
638,spec_unconditional_monomer_unconditional_monomer_291_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_291_model_2.cif,A,30,30,634,637,633,test
639,spec_unconditional_monomer_unconditional_monomer_292_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_292_model_0.cif,A,311,311,635,638,634,train
640,spec_unconditional_monomer_unconditional_monomer_292_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_292_model_1.cif,A,311,311,636,639,635,train
641,spec_unconditional_monomer_unconditional_monomer_292_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_292_model_2.cif,A,311,311,637,640,636,train
642,spec_unconditional_monomer_unconditional_monomer_293_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_293_model_0.cif,A,385,385,638,641,637,train
643,spec_unconditional_monomer_unconditional_monomer_293_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_293_model_1.cif,A,385,385,639,642,638,train
644,spec_unconditional_monomer_unconditional_monomer_293_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_293_model_2.cif,A,385,385,640,643,639,test
645,spec_unconditional_monomer_unconditional_monomer_294_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_294_model_0.cif,A,148,148,641,644,640,train
646,spec_unconditional_monomer_unconditional_monomer_294_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_294_model_1.cif,A,148,148,642,645,641,train
647,spec_unconditional_monomer_unconditional_monomer_294_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_294_model_2.cif,A,148,148,643,646,642,test
648,spec_unconditional_monomer_unconditional_monomer_295_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_295_model_0.cif,A,323,323,644,647,643,train
649,spec_unconditional_monomer_unconditional_monomer_295_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_295_model_1.cif,A,323,323,645,648,644,train
650,spec_unconditional_monomer_unconditional_monomer_295_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_295_model_2.cif,A,323,323,646,649,645,train
651,spec_unconditional_monomer_unconditional_monomer_296_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_296_model_0.cif,A,75,75,647,650,646,test
652,spec_unconditional_monomer_unconditional_monomer_296_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_296_model_1.cif,A,75,75,648,651,647,test
653,spec_unconditional_monomer_unconditional_monomer_296_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_296_model_2.cif,A,75,75,649,652,648,train
654,spec_unconditional_monomer_unconditional_monomer_297_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_297_model_0.cif,A,316,316,650,653,649,train
655,spec_unconditional_monomer_unconditional_monomer_297_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_297_model_1.cif,A,316,316,651,654,650,train
656,spec_unconditional_monomer_unconditional_monomer_297_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_297_model_2.cif,A,316,316,652,655,651,train
657,spec_unconditional_monomer_unconditional_monomer_298_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_298_model_0.cif,A,197,197,653,656,652,test
658,spec_unconditional_monomer_unconditional_monomer_298_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_298_model_1.cif,A,197,197,654,657,653,train
659,spec_unconditional_monomer_unconditional_monomer_298_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_298_model_2.cif,A,197,197,655,658,654,train
660,spec_unconditional_monomer_unconditional_monomer_299_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_299_model_0.cif,A,131,131,656,659,655,train
661,spec_unconditional_monomer_unconditional_monomer_299_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_299_model_1.cif,A,131,131,657,660,656,test
662,spec_unconditional_monomer_unconditional_monomer_299_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_299_model_2.cif,A,131,131,658,661,657,train
663,spec_unconditional_monomer_unconditional_monomer_29_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_29_model_0.cif,A,123,123,659,662,658,train
664,spec_unconditional_monomer_unconditional_monomer_29_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_29_model_1.cif,A,123,123,660,663,659,test
665,spec_unconditional_monomer_unconditional_monomer_29_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_29_model_2.cif,A,123,123,661,664,660,train
666,spec_unconditional_monomer_unconditional_monomer_2_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_2_model_0.cif,A,163,163,662,665,661,train
667,spec_unconditional_monomer_unconditional_monomer_2_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_2_model_1.cif,A,163,163,663,666,662,test
668,spec_unconditional_monomer_unconditional_monomer_2_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_2_model_2.cif,A,163,163,664,667,663,train
669,spec_unconditional_monomer_unconditional_monomer_300_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_300_model_0.cif,A,136,136,665,668,664,train
670,spec_unconditional_monomer_unconditional_monomer_300_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_300_model_1.cif,A,136,136,666,669,665,test
671,spec_unconditional_monomer_unconditional_monomer_300_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_300_model_2.cif,A,136,136,667,670,666,train
672,spec_unconditional_monomer_unconditional_monomer_301_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_301_model_0.cif,A,297,297,668,671,667,test
673,spec_unconditional_monomer_unconditional_monomer_301_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_301_model_1.cif,A,297,297,669,672,668,test
674,spec_unconditional_monomer_unconditional_monomer_301_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_301_model_2.cif,A,297,297,670,673,669,train
